listingTitle,listingPage,dateTime
2018 Santa Cruz 5010 CC XX1,https://sfbay.craigslist.org/sby/bik/d/mountain-view-2018-santa-cruz-5010-cc/7102551335.html,2020-04-08 12:21
"Schwinn Mountain Mtn Bike - 17"" Frame",https://sfbay.craigslist.org/pen/bik/d/san-mateo-schwinn-mountain-mtn-bike-17/7105373605.html,2020-04-08 12:06
Vintage classic old school Breezer  mountain bike wtb stem,https://sfbay.craigslist.org/eby/bik/d/union-city-vintage-classic-old-school/7102969546.html,2020-04-08 11:57
Miyata shredder mountain bike,https://sfbay.craigslist.org/eby/bik/d/union-city-miyata-shredder-mountain-bike/7102969238.html,2020-04-08 11:57
size Medium  Kona NuNu MTB mountain bike,https://sfbay.craigslist.org/sfc/bik/d/size-medium-kona-nunu-mtb-mountain-bike/7096669769.html,2020-04-08 11:33
Santa Cruz Hightower - Stolen will pay to get it back,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-santa-cruz-hightower/7104115580.html,2020-04-08 11:17
Med size Klein Pulse MTB mountain bike,https://sfbay.craigslist.org/sfc/bik/d/med-size-klein-pulse-mtb-mountain-bike/7096671861.html,2020-04-08 10:50
2018 Santa Cruz highball s Carbon 29,https://sfbay.craigslist.org/nby/bik/d/sebastopol-2018-santa-cruz-highball/7102985150.html,2020-04-08 10:16
"1988 ""Muddy Fox Courier"" 18-speed Mountain Bike",https://sfbay.craigslist.org/eby/bik/d/richmond-1988-muddy-fox-courier-18/7100270848.html,2020-04-08 09:57
"1991 Cannondale S700, 21-speed Mountain Bike. *Aluminum, made in USA*",https://sfbay.craigslist.org/eby/bik/d/richmond-1991-cannondale-s-speed/7098564206.html,2020-04-08 09:56
MOVING: Xootr Ultra Cruz Push Scooter,https://sfbay.craigslist.org/pen/bik/d/mountain-view-moving-xootr-ultra-cruz/7105285894.html,2020-04-08 09:49
"Choose your favorite ride! Road, MTB or hybrid",https://sfbay.craigslist.org/sfc/bik/d/san-francisco-choose-your-favorite-ride/7092085109.html,2020-04-08 09:33
Girls “Cruzer”Bicycle. 20 in,https://sfbay.craigslist.org/nby/bik/d/santa-rosa-girls-cruzerbicycle-20-in/7105257847.html,2020-04-08 09:07
TITUS RACER X 26ER MTB SIZE SMALL(FITS 5'-0 TO 5'-7,https://sfbay.craigslist.org/eby/bik/d/danville-titus-racer-26er-mtb-size/7104215985.html,2020-04-08 08:36
Santa Cruz Nomad (gen 3) XL,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-santa-cruz-nomad-gen-3-xl/7093852115.html,2020-04-08 07:31
EPX Terra Shark Carbon 18” Mountain Bike,https://sfbay.craigslist.org/sby/bik/d/milpitas-epx-terra-shark-carbon-18/7103802197.html,2020-04-08 07:20
